Survived,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Pclass_2,Pclass_3
0,-0.46153846153846156,1,0,-0.3120106021758714,1.0,0,True,False,True,False,True,False,False,False,True
1,0.7692307692307693,1,0,2.4612422909015312,1.0,0,False,False,False,False,False,True,False,False,False
1,-0.15384615384615385,0,0,-0.2827766613540295,0.0,1,False,False,True,True,False,False,False,False,True
1,0.5384615384615384,1,0,1.6737318966114614,1.0,0,False,False,True,False,False,True,False,False,False
0,0.5384615384615384,0,0,-0.277362968609244,0.0,1,True,False,True,False,True,False,False,False,True
0,0.0,0,0,-0.25967968262767654,0.0,1,True,True,False,False,True,False,False,False,True
0,2.0,0,0,1.6201363384380845,0.0,1,True,False,True,False,True,False,False,False,False
0,-2.0,3,1,0.2867438153974083,4.0,0,True,False,True,False,False,False,False,False,True
1,-0.07692307692307693,0,2,-0.14382665788926616,2.0,0,False,False,True,False,False,True,False,False,True
1,-1.0769230769230769,1,0,0.6763477929457417,1.0,0,False,False,False,False,False,True,False,True,False
1,-1.8461538461538463,1,1,0.09726456932991473,2.0,0,False,False,True,True,False,False,False,False,True
1,2.3076923076923075,0,0,0.5238635576190146,0.0,1,False,False,True,True,False,False,False,False,False
0,-0.6153846153846154,0,0,-0.277362968609244,0.0,1,True,False,True,False,True,False,False,False,True
0,0.8461538461538461,1,5,0.7285011433719076,6.0,0,True,False,True,False,True,False,False,False,True
0,-1.0769230769230769,0,0,-0.2858429769246761,0.0,1,False,False,True,True,False,False,False,False,True
1,2.076923076923077,0,0,0.06694788995911578,0.0,1,False,False,True,False,False,True,False,True,False
0,-2.0,4,1,0.6353856281615965,5.0,0,True,True,False,False,False,False,False,False,True
1,0.0,0,0,-0.06298073591573695,0.0,1,True,False,True,False,True,False,False,True,False
0,0.23076923076923078,1,0,0.15356697387568427,1.0,0,False,False,True,False,False,True,False,False,True
1,0.0,0,0,-0.31309334072482853,0.0,1,False,False,False,False,False,True,False,False,True
0,0.5384615384615384,0,0,0.5000433095419583,0.0,1,True,False,True,False,True,False,False,True,False
